PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
389002 ; 225360 ; 388946 ; 225320 ; 194 
390976 ; 226480 ; 390904 ; 226440 ; 195 
393070 ; 227520 ; 392928 ; 227480 ; 196 
394970 ; 228520 ; 394834 ; 228480 ; 197 
396976 ; 229600 ; 396916 ; 229560 ; 198 
398978 ; 230720 ; 398912 ; 230680 ; 199 
401000 ; 231840 ; 400938 ; 231800 ; 200 
403062 ; 233000 ; 402926 ; 232960 ; 201 
405042 ; 234120 ; 404980 ; 234080 ; 202 
407016 ; 235200 ; 406952 ; 235160 ; 203 
409002 ; 236280 ; 408938 ; 236240 ; 204 
411054 ; 237440 ; 410992 ; 237400 ; 205 
413068 ; 238560 ; 413006 ; 238520 ; 206 
415126 ; 239760 ; 414994 ; 239720 ; 207 
417058 ; 240880 ; 416994 ; 240840 ; 208 
419062 ; 241920 ; 418988 ; 241880 ; 209 
421098 ; 242920 ; 421026 ; 242880 ; 210 
423036 ; 243880 ; 422964 ; 243840 ; 211 
425150 ; 244920 ; 425010 ; 244880 ; 212 
427092 ; 245920 ; 427020 ; 245880 ; 213 
429080 ; 246960 ; 429012 ; 246920 ; 214 
431096 ; 248040 ; 431026 ; 248000 ; 215 
433104 ; 249080 ; 432970 ; 249040 ; 216 
435076 ; 250120 ; 435010 ; 250080 ; 217 
437132 ; 251240 ; 437064 ; 251200 ; 218 
439190 ; 252320 ; 439054 ; 252280 ; 219 
441082 ; 253400 ; 441022 ; 253360 ; 220 
443188 ; 254560 ; 443052 ; 254520 ; 221 
445114 ; 255680 ; 445060 ; 255640 ; 222 
447138 ; 256800 ; 446994 ; 256760 ; 223 
449114 ; 257800 ; 448978 ; 257760 ; 224 
451122 ; 258840 ; 451054 ; 258800 ; 225 
453112 ; 259880 ; 453046 ; 259840 ; 226 
455148 ; 260960 ; 455082 ; 260920 ; 227 
457178 ; 262000 ; 457110 ; 261960 ; 228 
459158 ; 263120 ; 459094 ; 263080 ; 229 
461136 ; 264200 ; 461006 ; 264160 ; 230 
463172 ; 265360 ; 463104 ; 265320 ; 231 
465146 ; 266440 ; 465082 ; 266400 ; 232 
467180 ; 267520 ; 467118 ; 267480 ; 233 
469184 ; 268680 ; 469128 ; 268640 ; 234 
471174 ; 269800 ; 471116 ; 269760 ; 235 
473196 ; 270960 ; 473070 ; 270920 ; 236 
475192 ; 272120 ; 475124 ; 272080 ; 237 
477214 ; 273160 ; 477146 ; 273120 ; 238 
479268 ; 274200 ; 479126 ; 274160 ; 239 
481230 ; 275240 ; 481164 ; 275200 ; 240 
483218 ; 276320 ; 483154 ; 276280 ; 241 
485202 ; 277400 ; 485066 ; 277360 ; 242 
487240 ; 278600 ; 487178 ; 278560 ; 243 
489246 ; 279720 ; 489184 ; 279680 ; 244 
491264 ; 280880 ; 491198 ; 280840 ; 245 
493240 ; 281920 ; 493104 ; 281880 ; 246 
495264 ; 283120 ; 495210 ; 283080 ; 247 
497242 ; 284280 ; 497178 ; 284240 ; 248 
499252 ; 285480 ; 499200 ; 285440 ; 249 
501354 ; 286760 ; 501226 ; 286720 ; 250 
503254 ; 287840 ; 503180 ; 287800 ; 251 
505290 ; 288880 ; 505220 ; 288840 ; 252 
507246 ; 289880 ; 507178 ; 289840 ; 253 
509268 ; 290920 ; 509134 ; 290880 ; 254 
511296 ; 292000 ; 511230 ; 291960 ; 255 
513302 ; 293120 ; 513244 ; 293080 ; 256 
515280 ; 294160 ; 515138 ; 294120 ; 257 
517290 ; 295320 ; 517224 ; 295280 ; 258 
519304 ; 296400 ; 519170 ; 296360 ; 259 
521310 ; 297520 ; 521242 ; 297480 ; 260 
523386 ; 298640 ; 523256 ; 298600 ; 261 
525318 ; 299800 ; 525256 ; 299760 ; 262 
527304 ; 300960 ; 527246 ; 300920 ; 263 
529412 ; 302200 ; 529284 ; 302160 ; 264 
531308 ; 303240 ; 531240 ; 303200 ; 265 
533312 ; 304240 ; 533240 ; 304200 ; 266 
535332 ; 305240 ; 535262 ; 305200 ; 267 
537326 ; 306240 ; 537256 ; 306200 ; 268 
539354 ; 307280 ; 539286 ; 307240 ; 269 
541396 ; 308320 ; 541324 ; 308280 ; 270 
543374 ; 309360 ; 543306 ; 309320 ; 271 
545368 ; 310440 ; 545298 ; 310400 ; 272 
547376 ; 311520 ; 547238 ; 311480 ; 273 
549396 ; 312640 ; 549326 ; 312600 ; 274 
551356 ; 313720 ; 551292 ; 313680 ; 275 
553418 ; 314840 ; 553352 ; 314800 ; 276 
555472 ; 316040 ; 555338 ; 316000 ; 277 
557426 ; 317200 ; 557364 ; 317160 ; 278 
559400 ; 318280 ; 559262 ; 318240 ; 279 
561440 ; 319320 ; 561374 ; 319280 ; 280 
563428 ; 320360 ; 563362 ; 320320 ; 281 
565406 ; 321400 ; 565338 ; 321360 ; 282 
567458 ; 322440 ; 567320 ; 322400 ; 283 
569400 ; 323480 ; 569334 ; 323440 ; 284 
571424 ; 324640 ; 571364 ; 324600 ; 285 
573472 ; 325760 ; 573404 ; 325720 ; 286 
575428 ; 326840 ; 575362 ; 326800 ; 287 
577434 ; 327920 ; 577300 ; 327880 ; 288 
579478 ; 329040 ; 579416 ; 329000 ; 289 
581500 ; 330160 ; 581366 ; 330120 ; 290 
583490 ; 331320 ; 583426 ; 331280 ; 291 
585474 ; 332440 ; 585350 ; 332400 ; 292 
587468 ; 333600 ; 587404 ; 333560 ; 293 
589450 ; 334600 ; 589382 ; 334560 ; 294 
591520 ; 335640 ; 591378 ; 335600 ; 295 
593506 ; 336680 ; 593438 ; 336640 ; 296 
595492 ; 337760 ; 595424 ; 337720 ; 297 
597602 ; 338880 ; 597468 ; 338840 ; 298 
599496 ; 339920 ; 599434 ; 339880 ; 299 
601482 ; 341040 ; 601420 ; 341000 ; 300 
603530 ; 342160 ; 603466 ; 342120 ; 301 
604456 ; 342680 ; 604388 ; 342640 ; 301 
604588 ; 342720 ; 0 ; 342680 ; 301 
