sector;pts_read;dts_read; NB_SAMPLES_PTS ;;;;;;;;;
351;552840;552758;270840;1128,5;552840;0;552758;0;;;;
352;554472;554391;271640;1131,83333333333;554472;0;554391;0;;;;
353;556024;555942;272400;1135;556023;-1;555942;0;;;;
354;557411;557330;273080;1137,83333333333;557411;0;557330;0;;;;
355;558881;558799;273800;1140,83333333333;558881;0;558799;0;;;;
356;560350;560268;274520;1143,83333333333;560350;0;560268;0;;;;
357;561819;561738;275240;1146,83333333333;561819;0;561738;0;;;;
358;563370;563289;276000;1150;563370;0;563289;0;;;;
359;564921;564840;276760;1153,16666666667;564921;0;564840;0;;;;
360;566472;566391;277520;1156,33333333333;566472;0;566391;0;;;;
361;568024;567942;278280;1159,5;568023;-1;567942;0;;;;
362;569575;569493;279040;1162,66666666667;569575;0;569493;0;;;;
363;571207;571126;279840;1166;571207;0;571126;0;;;;
364;572758;572677;280600;1169,16666666667;572758;0;572677;0;;;;
365;574309;574228;281360;1172,33333333333;574309;0;574228;0;;;;
366;575860;575779;282120;1175,5;575860;0;575779;0;;;;
367;577411;577330;282880;1178,66666666667;577411;0;577330;0;;;;
368;578962;578881;283640;1181,83333333333;578962;0;578881;0;;;;
369;580595;580513;284440;1185,16666666667;580595;0;580513;0;;;;
370;582228;582146;285240;1188,5;582228;0;582146;0;;;;
371;583860;583779;286040;1191,83333333333;583860;0;583779;0;;;;
372;585493;585411;286840;1195,16666666667;585493;0;585411;0;;;;
373;587126;587044;287600;1198,33333333333;587044;-82;586962;-82;;;;
374;588513;588432;288320;1201,33333333333;588513;0;588432;0;;;;
375;589901;589819;289000;1204,16666666667;589901;0;589819;0;;;;
376;591370;591289;289720;1207,16666666667;591370;0;591289;0;;;;
377;592758;592677;290400;1210;592758;0;592677;0;;;;
378;594309;594228;291160;1213,16666666667;594309;0;594228;0;;;;
379;595779;595697;291880;1216,16666666667;595779;0;595697;0;;;;
380;597248;597166;292600;1219,16666666667;597248;0;597166;0;;;;
381;598799;598717;293360;1222,33333333333;598799;0;598717;0;;;;
