PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
709764 ; 273080 ; 709660 ; 273040 ; 354 
711768 ; 273800 ; 711666 ; 273760 ; 355 
713836 ; 274520 ; 713662 ; 274480 ; 356 
715788 ; 275240 ; 715690 ; 275200 ; 357 
717808 ; 276000 ; 717712 ; 275960 ; 358 
719878 ; 276760 ; 719704 ; 276720 ; 359 
721848 ; 277520 ; 721752 ; 277480 ; 360 
723788 ; 278280 ; 723696 ; 278240 ; 361 
725822 ; 279040 ; 725724 ; 279000 ; 362 
727850 ; 279840 ; 727756 ; 279800 ; 363 
729810 ; 280600 ; 729712 ; 280560 ; 364 
731894 ; 281360 ; 731796 ; 281320 ; 365 
733880 ; 282120 ; 733786 ; 282080 ; 366 
735902 ; 282880 ; 735730 ; 282840 ; 367 
737842 ; 283640 ; 737748 ; 283600 ; 368 
739840 ; 284440 ; 739746 ; 284400 ; 369 
741902 ; 285240 ; 741810 ; 285200 ; 370 
743864 ; 286040 ; 743772 ; 286000 ; 371 
745906 ; 286840 ; 745816 ; 286800 ; 372 
747952 ; 287640 ; 747844 ; 287600 ; 373 
749900 ; 288320 ; 749794 ; 288280 ; 374 
751916 ; 289000 ; 751740 ; 288960 ; 375 
753958 ; 289720 ; 753852 ; 289680 ; 376 
755868 ; 290400 ; 755764 ; 290360 ; 377 
757952 ; 291160 ; 757850 ; 291120 ; 378 
759976 ; 291880 ; 759806 ; 291840 ; 379 
761894 ; 292600 ; 761796 ; 292560 ; 380 
763906 ; 293360 ; 763810 ; 293320 ; 381 
766062 ; 294160 ; 765888 ; 294120 ; 382 
767918 ; 294880 ; 767824 ; 294840 ; 383 
769978 ; 295680 ; 769884 ; 295640 ; 384 
771930 ; 296400 ; 771758 ; 296360 ; 385 
773938 ; 297160 ; 773840 ; 297120 ; 386 
775922 ; 297920 ; 775826 ; 297880 ; 387 
777962 ; 298680 ; 777864 ; 298640 ; 388 
780006 ; 299480 ; 779914 ; 299440 ; 389 
781978 ; 300240 ; 781812 ; 300200 ; 390 
783966 ; 301040 ; 783876 ; 301000 ; 391 
786072 ; 301880 ; 785910 ; 301840 ; 392 
788028 ; 302680 ; 787930 ; 302640 ; 393 
789972 ; 303360 ; 789868 ; 303320 ; 394 
792004 ; 304040 ; 791896 ; 304000 ; 395 
794036 ; 304720 ; 793924 ; 304680 ; 396 
796114 ; 305400 ; 795934 ; 305360 ; 397 
798070 ; 306080 ; 797968 ; 306040 ; 398 
800026 ; 306760 ; 799920 ; 306720 ; 399 
802034 ; 307480 ; 801932 ; 307440 ; 400 
804000 ; 308200 ; 803902 ; 308160 ; 401 
806110 ; 308960 ; 805936 ; 308920 ; 402 
808016 ; 309680 ; 807920 ; 309640 ; 403 
810018 ; 310440 ; 809920 ; 310400 ; 404 
812084 ; 311200 ; 811910 ; 311160 ; 405 
814096 ; 311960 ; 813998 ; 311920 ; 406 
816082 ; 312720 ; 815986 ; 312680 ; 407 
818032 ; 313440 ; 817864 ; 313400 ; 408 
820070 ; 314240 ; 819978 ; 314200 ; 409 
822176 ; 315040 ; 822004 ; 315000 ; 410 
824106 ; 315800 ; 824012 ; 315760 ; 411 
826104 ; 316600 ; 826012 ; 316560 ; 412 
828084 ; 317360 ; 827992 ; 317320 ; 413 
830076 ; 318160 ; 829978 ; 318120 ; 414 
832162 ; 318880 ; 832054 ; 318840 ; 415 
834170 ; 319560 ; 833990 ; 319520 ; 416 
836104 ; 320240 ; 835998 ; 320200 ; 417 
838104 ; 320960 ; 838002 ; 320920 ; 418 
840092 ; 321680 ; 839990 ; 321640 ; 419 
842246 ; 322440 ; 842070 ; 322400 ; 420 
844086 ; 323120 ; 843984 ; 323080 ; 421 
846108 ; 323880 ; 846012 ; 323840 ; 422 
848104 ; 324640 ; 848004 ; 324600 ; 423 
850164 ; 325400 ; 850066 ; 325360 ; 424 
852144 ; 326160 ; 852046 ; 326120 ; 425 
854130 ; 326920 ; 854034 ; 326880 ; 426 
856196 ; 327680 ; 856098 ; 327640 ; 427 
858194 ; 328440 ; 858098 ; 328400 ; 428 
860250 ; 329200 ; 860080 ; 329160 ; 429 
862216 ; 329960 ; 862120 ; 329920 ; 430 
864138 ; 330720 ; 864046 ; 330680 ; 431 
866214 ; 331520 ; 866120 ; 331480 ; 432 
868170 ; 332320 ; 868078 ; 332280 ; 433 
870222 ; 333120 ; 870130 ; 333080 ; 434 
872254 ; 333880 ; 872144 ; 333840 ; 435 
874166 ; 334520 ; 874056 ; 334480 ; 436 
876212 ; 335240 ; 876110 ; 335200 ; 437 
878272 ; 335960 ; 878094 ; 335920 ; 438 
880238 ; 336680 ; 880138 ; 336640 ; 439 
882180 ; 337400 ; 882082 ; 337360 ; 440 
884188 ; 338160 ; 884090 ; 338120 ; 441 
886252 ; 338920 ; 886154 ; 338880 ; 442 
888236 ; 339680 ; 888142 ; 339640 ; 443 
890370 ; 340480 ; 890198 ; 340440 ; 444 
892224 ; 341200 ; 892130 ; 341160 ; 445 
894286 ; 342000 ; 894190 ; 341960 ; 446 
896262 ; 342720 ; 896090 ; 342680 ; 447 
898264 ; 343480 ; 898166 ; 343440 ; 448 
900254 ; 344240 ; 900158 ; 344200 ; 449 
