PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SRC; NB_SAMPLES_SRC; RANK 
186507 ; 73360 ; 186378 ; 73320 ; 93 
188509 ; 73920 ; 188384 ; 73880 ; 94 
190477 ; 74480 ; 190348 ; 74440 ; 95 
192581 ; 75080 ; 192456 ; 75040 ; 96 
194617 ; 75680 ; 194408 ; 75640 ; 97 
196587 ; 76280 ; 196458 ; 76240 ; 98 
198497 ; 76840 ; 198374 ; 76800 ; 99 
200485 ; 77440 ; 200376 ; 77400 ; 100 
202605 ; 78080 ; 202482 ; 78040 ; 101 
204597 ; 78680 ; 204474 ; 78640 ; 102 
206599 ; 79320 ; 206478 ; 79280 ; 103 
208551 ; 79920 ; 208448 ; 79880 ; 104 
210565 ; 80560 ; 210456 ; 80520 ; 105 
212515 ; 81160 ; 212290 ; 81120 ; 106 
214593 ; 81800 ; 214388 ; 81760 ; 107 
216709 ; 82440 ; 216508 ; 82400 ; 108 
218635 ; 83040 ; 218514 ; 83000 ; 109 
220585 ; 83680 ; 220464 ; 83640 ; 110 
222583 ; 84320 ; 222466 ; 84280 ; 111 
224647 ; 85000 ; 224454 ; 84960 ; 112 
226627 ; 85680 ; 226512 ; 85640 ; 113 
228599 ; 86320 ; 228502 ; 86280 ; 114 
230597 ; 87000 ; 230490 ; 86960 ; 115 
232647 ; 87680 ; 232532 ; 87640 ; 116 
234633 ; 88240 ; 234510 ; 88200 ; 117 
236583 ; 88840 ; 236460 ; 88800 ; 118 
238673 ; 89440 ; 238550 ; 89400 ; 119 
240657 ; 90000 ; 240530 ; 89960 ; 120 
242641 ; 90560 ; 242514 ; 90520 ; 121 
244691 ; 91160 ; 244564 ; 91120 ; 122 
246731 ; 91760 ; 246520 ; 91720 ; 123 
248711 ; 92360 ; 248584 ; 92320 ; 124 
250651 ; 92960 ; 250522 ; 92920 ; 125 
252645 ; 93560 ; 252520 ; 93520 ; 126 
254619 ; 94160 ; 254502 ; 94120 ; 127 
256689 ; 94800 ; 256566 ; 94760 ; 128 
258647 ; 95400 ; 258528 ; 95360 ; 129 
260735 ; 96040 ; 260614 ; 96000 ; 130 
262733 ; 96640 ; 262610 ; 96600 ; 131 
264743 ; 97240 ; 264530 ; 97200 ; 132 
266833 ; 97880 ; 266634 ; 97840 ; 133 
268721 ; 98480 ; 268600 ; 98440 ; 134 
270719 ; 99120 ; 270596 ; 99080 ; 135 
272663 ; 99720 ; 272550 ; 99680 ; 136 
274691 ; 100360 ; 274576 ; 100320 ; 137 
276701 ; 101000 ; 276584 ; 100960 ; 138 
278731 ; 101640 ; 278614 ; 101600 ; 139 
280709 ; 102280 ; 280602 ; 102240 ; 140 
282739 ; 102920 ; 282620 ; 102880 ; 141 
284697 ; 103480 ; 284566 ; 103440 ; 142 
286803 ; 104080 ; 286674 ; 104040 ; 143 
288735 ; 104640 ; 288518 ; 104600 ; 144 
290749 ; 105240 ; 290616 ; 105200 ; 145 
292787 ; 105840 ; 292658 ; 105800 ; 146 
294829 ; 106440 ; 294700 ; 106400 ; 147 
296733 ; 107000 ; 296604 ; 106960 ; 148 
298837 ; 107640 ; 298710 ; 107600 ; 149 
300793 ; 108240 ; 300676 ; 108200 ; 150 
302755 ; 108840 ; 302636 ; 108800 ; 151 
304775 ; 109480 ; 304648 ; 109440 ; 152 
306817 ; 110120 ; 306694 ; 110080 ; 153 
308831 ; 110760 ; 308630 ; 110720 ; 154 
310875 ; 111400 ; 310674 ; 111360 ; 155 
312933 ; 112040 ; 312730 ; 112000 ; 156 
314841 ; 112640 ; 314718 ; 112600 ; 157 
316813 ; 113280 ; 316690 ; 113240 ; 158 
318825 ; 113920 ; 318708 ; 113880 ; 159 
320881 ; 114560 ; 320764 ; 114520 ; 160 
322825 ; 115200 ; 322712 ; 115160 ; 161 
324857 ; 115840 ; 324742 ; 115800 ; 162 
326837 ; 116480 ; 326724 ; 116440 ; 163 
328973 ; 117160 ; 328776 ; 117120 ; 164 
330869 ; 117800 ; 330758 ; 117760 ; 165 
332841 ; 118400 ; 332716 ; 118360 ; 166 
334827 ; 118960 ; 334692 ; 118920 ; 167 
336877 ; 119520 ; 336742 ; 119480 ; 168 
338975 ; 120080 ; 338754 ; 120040 ; 169 
340851 ; 120600 ; 340714 ; 120560 ; 170 
342867 ; 121160 ; 342736 ; 121120 ; 171 
344895 ; 121720 ; 344768 ; 121680 ; 172 
346987 ; 122320 ; 346778 ; 122280 ; 173 
348971 ; 122920 ; 348832 ; 122880 ; 174 
350911 ; 123480 ; 350790 ; 123440 ; 175 
