PKT_POS_PTS ; NB_SAMPLES_PTS ; PKT_POS_SCR; NB_SAMPLES_SCR; RANK 
884284 ; 433840 ; 884128 ; 433800 ; 441 
886196 ; 434640 ; 885876 ; 434600 ; 442 
888348 ; 435680 ; 888194 ; 435640 ; 443 
890350 ; 436560 ; 890036 ; 436520 ; 444 
892340 ; 437520 ; 892192 ; 437480 ; 445 
894454 ; 438480 ; 894142 ; 438440 ; 446 
896244 ; 439360 ; 896096 ; 439320 ; 447 
898522 ; 440400 ; 898204 ; 440360 ; 448 
900296 ; 441280 ; 900150 ; 441240 ; 449 
902240 ; 442240 ; 902094 ; 442200 ; 450 
904346 ; 443200 ; 904202 ; 443160 ; 451 
906260 ; 444160 ; 906114 ; 444120 ; 452 
908364 ; 445120 ; 908222 ; 445080 ; 453 
910316 ; 446080 ; 910168 ; 446040 ; 454 
912300 ; 446960 ; 912156 ; 446920 ; 455 
914378 ; 448000 ; 914230 ; 447960 ; 456 
916310 ; 448880 ; 916160 ; 448840 ; 457 
918366 ; 449920 ; 918224 ; 449880 ; 458 
920314 ; 450800 ; 920168 ; 450760 ; 459 
922344 ; 451840 ; 922198 ; 451800 ; 460 
924324 ; 452800 ; 924190 ; 452760 ; 461 
926434 ; 453840 ; 926130 ; 453800 ; 462 
928346 ; 454880 ; 928214 ; 454840 ; 463 
930318 ; 455840 ; 930174 ; 455800 ; 464 
932418 ; 456960 ; 932278 ; 456920 ; 465 
934374 ; 457920 ; 934240 ; 457880 ; 466 
936478 ; 458880 ; 936286 ; 458840 ; 467 
938426 ; 459600 ; 938086 ; 459560 ; 468 
940342 ; 460400 ; 940176 ; 460360 ; 469 
942384 ; 461280 ; 942214 ; 461240 ; 470 
944542 ; 462160 ; 944214 ; 462120 ; 471 
946468 ; 463040 ; 946306 ; 463000 ; 472 
948400 ; 463920 ; 948238 ; 463880 ; 473 
950492 ; 464800 ; 950332 ; 464760 ; 474 
952366 ; 465680 ; 952206 ; 465640 ; 475 
954582 ; 466640 ; 954260 ; 466600 ; 476 
956420 ; 467520 ; 956268 ; 467480 ; 477 
958436 ; 468480 ; 958286 ; 468440 ; 478 
960430 ; 469360 ; 960286 ; 469320 ; 479 
962384 ; 470320 ; 962232 ; 470280 ; 480 
964492 ; 471280 ; 964346 ; 471240 ; 481 
966438 ; 472240 ; 966292 ; 472200 ; 482 
968542 ; 473200 ; 968392 ; 473160 ; 483 
970474 ; 474160 ; 970328 ; 474120 ; 484 
972420 ; 475040 ; 972272 ; 475000 ; 485 
974496 ; 476080 ; 974344 ; 476040 ; 486 
976470 ; 476960 ; 976316 ; 476920 ; 487 
978442 ; 477920 ; 978288 ; 477880 ; 488 
980426 ; 478800 ; 980110 ; 478760 ; 489 
982556 ; 479840 ; 982406 ; 479800 ; 490 
984512 ; 480720 ; 984200 ; 480680 ; 491 
986456 ; 481680 ; 986308 ; 481640 ; 492 
988540 ; 482640 ; 988222 ; 482600 ; 493 
990552 ; 483680 ; 990414 ; 483640 ; 494 
992572 ; 484640 ; 992430 ; 484600 ; 495 
994550 ; 485680 ; 994412 ; 485640 ; 496 
996560 ; 486640 ; 996428 ; 486600 ; 497 
998550 ; 487680 ; 998406 ; 487640 ; 498 
1000560 ; 488640 ; 1000422 ; 488600 ; 499 
1002734 ; 489680 ; 1002422 ; 489640 ; 500 
1004606 ; 490640 ; 1004466 ; 490600 ; 501 
1006664 ; 491600 ; 1006356 ; 491560 ; 502 
1008548 ; 492480 ; 1008384 ; 492440 ; 503 
1010598 ; 493360 ; 1010424 ; 493320 ; 504 
1012648 ; 494160 ; 1012310 ; 494120 ; 505 
1014546 ; 494960 ; 1014374 ; 494920 ; 506 
1016578 ; 495840 ; 1016412 ; 495800 ; 507 
1018684 ; 496720 ; 1018356 ; 496680 ; 508 
1020620 ; 497600 ; 1020460 ; 497560 ; 509 
1022664 ; 498560 ; 1022510 ; 498520 ; 510 
1024540 ; 499360 ; 1024380 ; 499320 ; 511 
1026680 ; 500400 ; 1026530 ; 500360 ; 512 
1028662 ; 501280 ; 1028518 ; 501240 ; 513 
1030586 ; 502240 ; 1030442 ; 502200 ; 514 
1032666 ; 503200 ; 1032514 ; 503160 ; 515 
1034586 ; 504160 ; 1034446 ; 504120 ; 516 
1036614 ; 505120 ; 1036472 ; 505080 ; 517 
1038642 ; 506160 ; 1038502 ; 506120 ; 518 
1040688 ; 507120 ; 1040538 ; 507080 ; 519 
1042714 ; 508160 ; 1042570 ; 508120 ; 520 
1044620 ; 509040 ; 1044478 ; 509000 ; 521 
1046646 ; 510080 ; 1046502 ; 510040 ; 522 
1048734 ; 511040 ; 1048588 ; 511000 ; 523 
1050674 ; 512000 ; 1050522 ; 511960 ; 524 
1052642 ; 512880 ; 1052498 ; 512840 ; 525 
1054716 ; 513920 ; 1054570 ; 513880 ; 526 
1056666 ; 514800 ; 1056516 ; 514760 ; 527 
1058694 ; 515840 ; 1058548 ; 515800 ; 528 
1060764 ; 516800 ; 1060620 ; 516760 ; 529 
1062648 ; 517760 ; 1062508 ; 517720 ; 530 
1064654 ; 518720 ; 1064514 ; 518680 ; 531 
1066788 ; 519760 ; 1066482 ; 519720 ; 532 
1068728 ; 520800 ; 1068590 ; 520760 ; 533 
1070728 ; 521760 ; 1070584 ; 521720 ; 534 
1072694 ; 522800 ; 1072558 ; 522760 ; 535 
1074720 ; 523760 ; 1074574 ; 523720 ; 536 
1076708 ; 524800 ; 1076570 ; 524760 ; 537 
1078812 ; 525600 ; 1078640 ; 525560 ; 538 
1080820 ; 526400 ; 1080620 ; 526360 ; 539 
1082682 ; 527120 ; 1082502 ; 527080 ; 540 
1084832 ; 528000 ; 1084654 ; 527960 ; 541 
1086774 ; 528720 ; 1086434 ; 528680 ; 542 
1088716 ; 529520 ; 1088542 ; 529480 ; 543 
1090790 ; 530400 ; 1090622 ; 530360 ; 544 
1092996 ; 531280 ; 1092666 ; 531240 ; 545 
1094838 ; 532080 ; 1094674 ; 532040 ; 546 
1096830 ; 532960 ; 1096662 ; 532920 ; 547 
1098984 ; 533840 ; 1098664 ; 533800 ; 548 
1100752 ; 534640 ; 1100588 ; 534600 ; 549 
1102824 ; 535600 ; 1102668 ; 535560 ; 550 
1104742 ; 536400 ; 1104418 ; 536360 ; 551 
1106776 ; 537360 ; 1106620 ; 537320 ; 552 
1108960 ; 538320 ; 1108642 ; 538280 ; 553 
1110816 ; 539200 ; 1110666 ; 539160 ; 554 
1112804 ; 540160 ; 1112656 ; 540120 ; 555 
1114810 ; 541040 ; 1114658 ; 541000 ; 556 
1116788 ; 542000 ; 1116634 ; 541960 ; 557 
